design_name,design_id,num_ips,lut_util_pct,ff_util_pct,slice_util_pct,bram_util_pct,dsp_util_pct,io_util_pct,synth_lut_util_pct,synth_ff_util_pct,synth_bram_util_pct,synth_dsp_util_pct,wns_ns,tns_ns,failing_endpoints,total_endpoints,logic_levels,max_logic_levels,data_path_delay_ns,clk_period_ns,congestion_north_pct,congestion_south_pct,congestion_east_pct,congestion_west_pct,congestion_max_pct,has_congestion_hotspot,synth_elapsed_s,opt_elapsed_s,place_elapsed_s,route_elapsed_s,impl_elapsed_s,total_elapsed_s
design_0026,26,15,14.15,8.55,19.52,0.0,2.84,39.8,,,,,-5.215,-1539.274,2095,40350,22,26,12.836,8.333,76.5766,66.6667,85.2941,82.3529,85.2941,True,27.0,21.0,84.0,75.0,180.0,207.0
design_0027,27,18,17.99,9.88,27.5,2.74,1.49,79.4,,,,,-2.983,-1731.307,1759,69990,15,16,10.768,8.333,77.4775,62.1622,77.9412,77.9412,77.9412,False,29.0,26.0,100.0,103.0,229.0,258.0
design_0028,28,4,10.55,4.17,15.13,0.0,0.27,29.4,,,,,-1.977,-2190.575,4109,31211,0,14,9.55,8.333,92.7928,86.036,87.5,85.0184,92.7928,True,24.0,12.0,68.0,173.0,253.0,277.0
design_0029,29,15,23.5,16.29,40.33,0.0,6.62,9.0,,,,,-0.134,-0.436,8,159445,17,17,8.457,8.333,91.1599,84.6847,86.5579,85.0184,91.1599,True,28.0,63.0,174.0,1019.0,1256.0,1284.0
design_0030,30,8,15.72,10.1,26.39,96.16,6.49,22.8,,,,,-0.334,-3.339,23,87831,0,14,8.02,8.333,75.6757,72.0721,97.0588,85.2941,97.0588,True,24.0,47.0,99.0,135.0,281.0,305.0
design_0031,31,19,27.7,15.47,43.09,14.79,8.38,32.6,,,,,-2.927,-4113.163,4170,106352,13,14,10.696,8.333,86.4865,63.964,70.5882,83.8235,86.4865,True,33.0,48.0,153.0,131.0,332.0,365.0
design_0032,32,7,29.09,18.03,47.01,16.71,9.46,66.4,,,,,-96.623,-62946.41,23105,193346,252,19,104.305,8.333,90.991,89.1892,87.7757,88.2353,90.991,True,25.0,40.0,174.0,156.0,370.0,395.0
design_0033,33,11,28.33,18.42,50.04,14.79,12.03,26.0,,,,,-4.406,-11902.562,9786,135131,0,19,12.266,8.333,67.5676,71.1712,76.4706,91.1765,91.1765,True,29.0,49.0,182.0,160.0,391.0,420.0
design_0034,34,6,5.44,4.21,9.54,4.38,3.92,4.8,,,,,-1.773,-63.923,89,28486,14,14,10.095,8.333,64.8649,75.6757,77.9412,73.5294,77.9412,False,23.0,21.0,38.0,62.0,121.0,144.0
design_0035,35,10,9.11,4.53,13.81,0.0,0.0,89.4,,,,,-57.495,-4758.006,967,46674,123,15,65.382,8.333,59.4595,54.0541,66.1765,61.7647,66.1765,False,23.0,13.0,53.0,74.0,140.0,163.0
design_0036,36,6,6.87,3.67,10.84,0.0,0.41,18.8,,,,,-32.066,-9284.028,562,30156,121,10,40.258,8.333,46.8468,51.3514,60.2941,60.2941,60.2941,False,22.0,85.0,46.0,67.0,198.0,220.0
design_0037,37,12,16.38,10.48,26.34,3.56,13.38,30.0,,,,,-2.106,-3414.306,4608,98959,14,17,10.364,8.333,68.4685,70.2703,83.8235,76.4706,83.8235,False,26.0,34.0,106.0,90.0,230.0,256.0
design_0038,38,12,7.39,5.08,11.96,0.0,5.81,63.6,,,,,0.168,0.0,0,32065,7,9,8.117,8.333,,,,,,,25.0,17.0,43.0,68.0,128.0,153.0
design_0039,39,14,19.15,11.46,33.13,0.0,4.73,21.2,,,,,-1.723,-671.715,1311,81027,13,15,9.569,8.333,75.6757,80.1802,82.3529,73.5294,82.3529,False,27.0,39.0,119.0,172.0,330.0,357.0
design_0040,40,12,13.18,10.86,28.29,0.0,13.38,80.8,,,,,0.079,0.0,0,74348,0,13,7.554,8.333,,,,,,,25.0,27.0,89.0,199.0,315.0,340.0
design_0041,41,13,12.46,8.26,22.13,0.0,6.49,33.8,,,,,-42.216,-8477.351,4389,54919,84,84,50.189,8.333,54.955,63.0631,82.3529,73.5294,82.3529,False,26.0,24.0,80.0,91.0,195.0,221.0
design_0042,42,2,3.9,2.78,5.95,0.0,2.16,1.8,,,,,1.116,0.0,0,14715,4,12,6.494,8.333,,,,,,,22.0,85.0,19.0,47.0,151.0,173.0
design_0043,43,16,13.14,7.43,21.16,1.64,0.14,78.0,,,,,-2.066,-833.719,1053,53925,13,14,9.829,8.333,62.1622,75.6757,64.7059,67.6471,75.6757,False,28.0,98.0,81.0,114.0,293.0,321.0
design_0044,44,17,23.09,14.79,38.56,0.0,7.3,44.8,,,,,-0.412,-2.125,12,135044,9,16,8.672,8.333,66.6667,72.973,80.8824,85.2941,85.2941,True,26.0,37.0,139.0,139.0,315.0,341.0
design_0045,45,16,38.06,30.36,64.03,46.3,25.68,25.2,,,,,-0.017,-0.017,1,274993,6,13,8.254,8.333,90.3153,78.3784,91.5441,88.511,91.5441,True,28.0,86.0,272.0,420.0,778.0,806.0
design_0046,46,12,33.75,24.17,56.71,15.62,3.65,74.2,,,,,-0.136,-0.254,2,283549,7,20,7.777,8.333,86.036,87.3874,85.8456,87.1323,87.3874,True,26.0,53.0,220.0,266.0,539.0,565.0
design_0047,47,16,20.31,13.3,35.81,0.0,6.35,86.8,,,,,-1.744,-2154.707,2970,97381,0,16,9.363,8.333,77.4775,71.1712,88.2353,77.9412,88.2353,True,30.0,43.0,121.0,203.0,367.0,397.0
design_0048,48,8,3.0,2.14,5.58,0.0,0.0,30.0,,,,,0.93,0.0,0,13030,7,12,7.318,8.333,,,,,,,23.0,81.0,17.0,45.0,143.0,166.0
design_0049,49,16,17.97,9.83,28.15,3.56,3.11,40.8,,,,,-1.978,-572.517,898,71037,13,14,9.742,8.333,64.8649,61.2613,82.3529,73.5294,82.3529,False,28.0,26.0,98.0,126.0,250.0,278.0
design_0050,50,16,14.62,8.61,22.96,5.48,4.59,57.0,,,,,-2.541,-625.095,474,52950,15,16,10.273,8.333,63.0631,60.3604,70.5882,66.1765,70.5882,False,31.0,27.0,83.0,95.0,205.0,236.0
design_0051,51,19,32.17,20.38,49.98,0.0,8.11,65.8,,,,,-1.944,-4855.341,6884,179269,9,22,9.454,8.333,73.8739,83.7838,92.6471,88.2353,92.6471,True,27.0,50.0,219.0,180.0,449.0,476.0
design_0052,52,12,22.7,13.87,35.93,0.55,0.54,46.8,,,,,-0.851,-16.175,114,169068,7,12,8.573,8.333,77.4775,84.6847,85.2941,85.0184,85.2941,True,24.0,26.0,136.0,167.0,329.0,353.0
design_0053,53,11,10.27,5.57,15.17,3.29,2.97,19.6,,,,,-0.507,-3.679,29,41677,10,15,8.77,8.333,83.7838,68.4685,91.1765,89.7059,91.1765,True,26.0,30.0,79.0,95.0,204.0,230.0
design_0054,54,14,17.92,14.0,33.38,0.0,19.73,16.6,,,,,-1.417,-929.361,1310,100160,12,17,9.144,8.333,62.1622,61.2613,69.1176,79.4118,79.4118,False,27.0,40.0,118.0,109.0,267.0,294.0
design_0055,55,2,2.19,1.64,4.16,0.0,0.0,2.8,,,,,0.944,0.0,0,9380,8,8,7.297,8.333,,,,,,,24.0,84.0,13.0,44.0,141.0,165.0
design_0056,56,18,15.2,7.54,24.41,21.37,5.54,22.8,,,,,-169.512,-19014.197,4231,58370,504,13,176.908,8.333,71.1712,72.973,61.7647,64.7059,72.973,False,34.0,45.0,105.0,158.0,308.0,342.0
design_0057,57,2,0.68,0.37,1.08,0.0,0.0,1.0,,,,,1.623,0.0,0,2083,4,6,5.755,8.333,,,,,,,22.0,11.0,6.0,36.0,53.0,75.0
design_0058,58,13,15.67,9.71,24.81,6.03,4.32,42.6,,,,,0.091,0.0,0,63713,0,14,7.463,8.333,,,,,,,27.0,32.0,88.0,86.0,206.0,233.0
design_0059,59,3,4.12,2.64,7.09,0.0,0.0,9.0,,,,,0.22,0.0,0,20852,7,16,7.66,8.333,,,,,,,22.0,85.0,26.0,62.0,173.0,195.0
design_0060,60,9,5.26,2.96,8.28,3.29,2.16,61.8,,,,,0.238,0.0,0,16484,4,12,7.677,8.333,,,,,,,24.0,14.0,27.0,54.0,95.0,119.0
design_0061,61,9,8.86,6.76,17.24,0.0,1.76,5.8,,,,,-0.123,-0.42,7,49280,9,15,7.661,8.333,62.1622,72.973,69.1176,69.1176,72.973,False,24.0,15.0,64.0,106.0,185.0,209.0
design_0062,62,16,24.32,15.41,38.33,0.0,6.35,42.2,,,,,-1.155,-189.165,451,130012,0,14,2.086,8.333,81.0811,72.973,82.3529,80.8824,82.3529,False,27.0,43.0,152.0,136.0,331.0,358.0
design_0063,63,15,32.02,17.57,46.16,4.38,1.62,90.4,,,,,-1.733,-408.663,970,207942,11,14,10.028,8.333,81.0811,81.982,91.1765,92.6471,92.6471,True,26.0,39.0,203.0,173.0,415.0,441.0
design_0064,64,11,12.52,7.82,16.68,0.0,3.51,10.2,,,,,-1.496,-194.776,243,41195,14,16,8.978,8.333,63.0631,69.3694,79.4118,76.4706,79.4118,False,24.0,20.0,66.0,73.0,159.0,183.0
design_0065,65,5,12.22,7.58,18.63,0.0,0.68,7.2,,,,,0.343,0.0,0,114420,13,14,7.603,8.333,,,,,,,23.0,20.0,87.0,97.0,204.0,227.0
design_0066,66,6,7.17,5.04,12.22,12.88,6.49,54.8,,,,,-0.282,-4.462,37,37846,1,14,8.753,8.333,69.3694,69.3694,85.2941,76.4706,85.2941,True,24.0,20.0,54.0,82.0,156.0,180.0
design_0067,67,3,3.61,2.14,6.28,2.74,0.0,19.2,,,,,0.174,0.0,0,15733,9,12,8.144,8.333,,,,,,,24.0,17.0,21.0,60.0,98.0,122.0
design_0068,68,13,51.23,29.21,74.79,0.0,6.08,10.0,,,,,-1.466,-2085.674,9414,403584,14,19,9.734,8.333,85.5856,92.7928,92.6471,94.1176,94.1176,True,27.0,74.0,365.0,485.0,924.0,951.0
design_0069,69,8,5.54,3.35,8.91,1.37,0.0,10.2,,,,,-0.238,-0.238,1,23041,0,9,1.041,8.333,49.5495,48.6486,39.7059,63.2353,63.2353,False,25.0,14.0,41.0,57.0,112.0,137.0
design_0070,70,12,6.5,4.23,11.3,0.0,1.22,67.2,,,,,-1.491,-12.784,44,27027,6,10,8.965,8.333,55.8559,62.1622,64.7059,67.6471,67.6471,False,28.0,24.0,46.0,88.0,158.0,186.0
design_0071,71,16,33.87,21.39,51.41,4.66,1.35,33.8,,,,,0.166,0.0,0,241484,7,24,7.597,8.333,,,,,,,28.0,58.0,220.0,208.0,486.0,514.0
design_0072,72,9,11.61,9.06,18.12,0.0,10.27,10.2,,,,,-0.578,-17.722,117,62111,34,34,8.833,8.333,60.3604,66.6667,72.0588,72.0588,72.0588,False,26.0,110.0,80.0,112.0,302.0,328.0
design_0073,73,9,10.71,7.18,15.55,5.21,6.08,72.4,,,,,-0.389,-21.243,118,53151,19,24,8.26,8.333,62.1622,63.964,79.4118,63.2353,79.4118,False,25.0,26.0,68.0,70.0,164.0,189.0
design_0074,74,6,2.9,2.2,5.11,0.0,2.43,52.2,,,,,-6.767,-745.918,202,14352,4,10,13.361,8.333,54.955,46.8468,54.4118,54.4118,54.955,False,24.0,11.0,27.0,45.0,83.0,107.0
design_0075,75,9,3.26,2.12,4.77,1.37,2.3,24.2,,,,,1.707,0.0,0,10370,0,7,5.871,8.333,,,,,,,23.0,12.0,14.0,40.0,66.0,89.0
design_0076,76,13,14.71,8.78,22.49,6.3,7.03,39.8,,,,,-6.404,-3129.086,2265,70974,22,22,14.0,8.333,69.3694,70.2703,80.8824,82.3529,82.3529,False,26.0,29.0,95.0,78.0,202.0,228.0
design_0077,77,8,6.37,5.17,11.48,42.74,5.68,18.6,,,,,0.288,0.0,0,47581,6,10,7.514,8.333,,,,,,,25.0,30.0,42.0,84.0,156.0,181.0
design_0078,78,7,13.75,9.75,22.33,85.75,7.43,7.6,,,,,-0.525,-10.318,41,72123,12,25,8.853,8.333,90.991,69.3694,95.5882,75.0,95.5882,True,25.0,61.0,100.0,146.0,307.0,332.0
design_0079,79,20,25.34,15.27,36.91,5.75,12.84,80.0,,,,,-0.393,-39.947,155,111135,2,16,6.988,8.333,62.1622,70.2703,76.4706,67.6471,76.4706,False,25.0,45.0,125.0,114.0,284.0,309.0
design_0080,80,16,15.61,10.79,24.67,5.48,11.08,40.8,,,,,-0.474,-41.836,297,77167,0,16,8.101,8.333,83.7838,71.1712,89.7059,82.3529,89.7059,True,29.0,28.0,95.0,128.0,251.0,280.0
design_0081,81,17,31.85,18.46,50.88,0.0,2.03,30.6,,,,,-128.863,-25233.627,9080,180649,342,19,136.441,8.333,76.5766,74.7748,67.6471,80.8824,80.8824,False,27.0,46.0,186.0,162.0,394.0,421.0
design_0082,82,10,16.28,9.19,20.33,0.0,4.86,51.0,,,,,0.084,0.0,0,46312,0,16,7.611,8.333,,,,,,,28.0,31.0,82.0,84.0,197.0,225.0
design_0083,83,3,2.34,1.22,3.44,1.64,0.41,15.6,,,,,-7.481,-1804.258,1328,9646,21,22,15.187,8.333,54.0541,68.4685,85.2941,76.4706,85.2941,True,24.0,12.0,42.0,53.0,107.0,131.0
design_0084,84,16,45.93,37.61,83.57,0.0,12.57,38.0,,,,,-0.638,-307.753,3005,455271,8,16,8.922,8.333,95.4955,84.6847,92.6471,92.6471,95.4955,True,28.0,74.0,364.0,380.0,818.0,846.0
design_0085,85,2,1.16,1.02,2.15,0.0,0.0,3.2,,,,,1.382,0.0,0,6419,6,12,6.166,8.333,,,,,,,24.0,86.0,9.0,43.0,138.0,162.0
design_0086,86,5,5.68,4.14,10.44,0.0,1.22,42.2,,,,,-1.267,-265.989,413,30635,13,13,8.964,8.333,48.6486,52.2523,63.2353,64.7059,64.7059,False,26.0,17.0,45.0,78.0,140.0,166.0
design_0087,87,6,6.31,4.48,11.82,1.92,2.16,25.6,,,,,-0.038,-0.038,1,27914,6,12,7.71,8.333,50.4505,54.0541,67.6471,64.7059,67.6471,False,27.0,17.0,40.0,71.0,128.0,155.0
design_0088,88,17,11.15,7.43,17.71,0.0,2.84,40.0,,,,,-0.238,-14.245,130,55878,0,20,1.041,8.333,56.7568,63.0631,52.9412,66.1765,66.1765,False,26.0,27.0,65.0,95.0,187.0,213.0
design_0089,89,9,15.72,9.63,28.06,21.64,8.24,29.6,,,,,-0.858,-31.585,253,69595,11,19,9.112,8.333,87.3874,72.0721,82.3529,86.7647,87.3874,True,28.0,29.0,116.0,159.0,304.0,332.0
design_0090,90,14,25.12,15.49,41.1,20.27,17.97,21.6,,,,,0.117,0.0,0,103818,0,14,7.285,8.333,,,,,,,27.0,44.0,147.0,159.0,350.0,377.0
design_0091,91,9,10.67,7.2,17.99,52.88,7.3,37.6,,,,,-2.053,-1433.068,2476,64282,12,15,9.899,8.333,73.8739,63.0631,82.3529,76.4706,82.3529,False,29.0,53.0,82.0,235.0,370.0,399.0
design_0092,92,16,15.3,9.2,22.49,0.0,8.11,54.0,,,,,-1.505,-541.156,1013,61035,13,19,9.406,8.333,73.8739,59.4595,67.6471,66.1765,73.8739,False,28.0,33.0,82.0,94.0,209.0,237.0
design_0093,93,11,11.97,6.64,18.12,3.56,3.11,28.6,,,,,-3.203,-159.852,140,60648,65,65,10.98,8.333,67.5676,63.0631,67.6471,63.2353,67.6471,False,27.0,23.0,68.0,68.0,159.0,186.0
design_0094,94,11,8.15,4.4,13.01,0.0,2.57,14.8,,,,,-9.716,-753.888,299,32258,36,36,18.014,8.333,57.6577,69.3694,64.7059,57.3529,69.3694,False,29.0,20.0,49.0,116.0,185.0,214.0
design_0095,95,7,7.07,4.43,11.36,0.82,0.14,46.8,,,,,0.077,0.0,0,38895,5,10,7.628,8.333,,,,,,,24.0,94.0,47.0,66.0,207.0,231.0
design_0096,96,10,3.3,1.96,5.43,0.0,0.0,15.4,,,,,-0.413,-0.413,1,12893,0,13,1.36,8.333,38.7387,45.9459,35.2941,47.0588,47.0588,False,28.0,16.0,19.0,53.0,88.0,116.0
design_0097,97,9,15.5,11.96,23.67,0.0,13.65,6.0,,,,,0.951,0.0,0,87803,1,19,6.732,8.333,,,,,,,25.0,135.0,82.0,118.0,335.0,360.0
design_0098,98,6,8.63,5.44,17.15,12.33,0.41,4.4,,,,,-1.87,-65.669,93,39548,14,17,10.117,8.333,63.964,70.2703,76.4706,76.4706,76.4706,False,27.0,21.0,68.0,79.0,168.0,195.0
design_0099,99,15,30.22,16.27,45.77,44.11,9.19,31.8,,,,,-130.542,-98140.57,26292,121156,467,15,137.995,8.333,84.6847,74.7748,76.4706,82.3529,84.6847,False,28.0,62.0,151.0,238.0,451.0,479.0
design_0100,100,3,1.78,1.54,3.61,0.0,0.81,11.4,,,,,1.402,0.0,0,8908,4,12,6.307,8.333,,,,,,,26.0,93.0,12.0,46.0,151.0,177.0
design_0101,101,17,24.62,18.73,39.6,81.37,14.05,70.2,,,,,-0.222,-9.317,385,122402,7,21,8.083,8.333,80.1802,72.973,92.6471,89.7059,92.6471,True,28.0,58.0,155.0,220.0,433.0,461.0
design_0102,102,9,12.91,7.99,21.42,7.95,6.49,6.2,,,,,-0.701,-16.23,91,53621,12,14,9.024,8.333,68.4685,63.0631,89.7059,75.0,89.7059,True,26.0,26.0,113.0,103.0,242.0,268.0
design_0103,103,7,4.58,2.37,7.32,0.82,0.41,11.6,,,,,-2.313,-276.465,438,15888,16,16,9.809,8.333,64.8649,62.1622,80.8824,86.7647,86.7647,True,26.0,13.0,37.0,63.0,113.0,139.0
design_0104,104,12,19.94,11.8,34.35,1.92,13.92,40.2,,,,,-2.917,-3995.417,5162,88671,15,17,10.785,8.333,60.3604,67.5676,82.3529,83.8235,83.8235,False,26.0,34.0,129.0,140.0,303.0,329.0
design_0105,105,16,18.51,15.49,27.55,10.41,18.24,36.4,,,,,-1.091,-57.651,106,110112,9,13,9.097,8.333,92.7928,92.7928,88.6029,92.6471,92.7928,True,29.0,33.0,145.0,364.0,542.0,571.0
design_0106,106,14,16.16,9.55,20.46,3.56,2.43,23.4,,,,,0.229,0.0,0,75633,0,14,7.419,8.333,,,,,,,26.0,25.0,72.0,81.0,178.0,204.0
design_0107,107,14,31.28,17.6,50.23,0.0,13.65,25.6,,,,,-157.859,-124412.164,27212,143465,482,16,165.599,8.333,80.1802,68.4685,83.8235,77.9412,83.8235,False,29.0,82.0,189.0,408.0,679.0,708.0
design_0108,108,10,10.84,7.13,14.48,5.48,4.46,34.6,,,,,-0.537,-12.871,42,37178,0,21,1.567,8.333,57.6577,63.964,63.2353,72.0588,72.0588,False,28.0,99.0,57.0,71.0,227.0,255.0
design_0109,109,2,0.53,0.34,0.95,0.0,0.0,30.0,,,,,2.652,0.0,0,1833,4,5,5.24,8.333,,,,,,,24.0,8.0,5.0,41.0,54.0,78.0
design_0110,110,13,17.08,13.88,27.93,0.0,22.16,73.6,,,,,-3.32,-16059.146,11753,100302,21,22,10.978,8.333,84.6847,95.4955,95.5882,91.1765,95.5882,True,27.0,29.0,108.0,165.0,302.0,329.0
design_0111,111,13,10.93,6.49,13.84,0.0,3.78,29.2,,,,,-2.423,-71.707,63,37344,16,20,10.602,8.333,76.5766,79.2793,77.9412,66.1765,79.2793,False,25.0,17.0,56.0,60.0,133.0,158.0
design_0112,112,15,6.56,3.05,9.67,0.55,0.14,44.2,,,,,-80.354,-4013.807,351,25774,265,8,88.171,8.333,42.3423,74.7748,67.6471,50.0,74.7748,False,25.0,16.0,44.0,74.0,134.0,159.0
design_0113,113,8,16.89,10.24,28.28,0.0,9.19,2.4,,,,,-0.587,-88.548,447,68700,6,15,9.021,8.333,67.5676,84.6847,72.0588,95.5882,95.5882,True,26.0,27.0,89.0,145.0,261.0,287.0
design_0114,114,19,40.15,19.07,57.88,10.41,5.14,32.4,,,,,-3.384,-29048.826,30008,136521,14,14,11.234,8.333,88.7387,85.5856,86.3971,85.8456,88.7387,True,34.0,56.0,213.0,241.0,510.0,544.0
design_0115,115,6,4.65,3.01,7.05,0.0,0.0,83.8,,,,,0.376,0.0,0,13556,6,23,7.523,8.333,,,,,,,26.0,95.0,28.0,52.0,175.0,201.0
design_0116,116,5,3.35,1.68,4.87,0.82,1.35,7.2,,,,,-2.025,-77.53,112,9953,13,13,10.277,8.333,61.2613,63.0631,85.2941,83.8235,85.2941,True,25.0,13.0,41.0,55.0,109.0,134.0
design_0117,117,14,40.78,26.12,71.03,0.0,16.22,20.0,,,,,-4.824,-25457.604,22113,182361,15,18,12.727,8.333,94.8198,90.0901,89.614,89.7978,94.8198,True,33.0,70.0,263.0,563.0,896.0,929.0
design_0118,118,10,4.73,3.76,7.57,0.0,1.76,45.0,,,,,0.335,0.0,0,25561,0,12,7.366,8.333,,,,,,,24.0,93.0,24.0,51.0,168.0,192.0
design_0119,119,16,27.28,18.33,42.35,0.0,7.03,48.4,,,,,-0.45,-1.892,9,164744,6,16,8.154,8.333,73.8739,68.4685,86.7647,86.7647,86.7647,True,30.0,48.0,177.0,187.0,412.0,442.0
design_0120,120,10,6.33,4.45,10.95,0.0,3.78,42.8,,,,,0.605,0.0,0,28972,6,12,7.115,8.333,,,,,,,26.0,22.0,32.0,60.0,114.0,140.0
design_0121,121,11,14.99,9.59,25.25,55.62,4.46,34.0,,,,,-0.795,-16.283,64,99289,0,13,1.71,8.333,77.4775,61.2613,77.9412,80.8824,80.8824,False,24.0,50.0,91.0,147.0,288.0,312.0
design_0122,122,6,3.12,2.68,7.41,0.0,10.14,56.6,,,,,-1.344,-21.447,45,20123,7,17,9.027,8.333,44.1441,39.6396,66.1765,55.8824,66.1765,False,26.0,92.0,34.0,53.0,179.0,205.0
